,client1,client2,client3,client4,client5
AppleiCloud,514,448,438,439,642
AppleiTunes,114,100,98,98,144
Dropbox,1531,1334,1306,1306,1912
FTP_DATA,32,28,28,27,41
Facebook,1658,1444,1414,1414,2070
GMail,1657,1445,1414,1414,2069
Github,1117,973,953,952,1395
GoogleDrive,1658,1444,1414,1414,2070
GoogleHangoutDuo,1626,1418,1387,1387,2031
GoogleServices,1592,1387,1357,1358,1987
Instagram,1657,1444,1414,1413,2069
MS_OneDrive,780,680,666,665,975
NetFlix,254,222,217,218,318
Skype,1638,1427,1397,1397,2045
Snapchat,35,31,30,30,45
SoundCloud,26,22,23,22,33
Spotify,635,553,541,542,793
Steam,110,96,94,95,138
TeamViewer,184,161,158,158,231
Telegram,239,209,204,205,299
Twitter,1625,1415,1386,1386,2028
WhatsApp,1565,1364,1334,1335,1954
Wikipedia,225,196,192,192,281
YouTube,1593,1388,1359,1358,1989
eBay,68,59,59,58,86
